MUN,NOM_MUN,POBLACIONTOTAL,POBLACIONFEM,POBLACIONMAS,POB0-14AÑOS,POB15_64AÑOS,POB65_AÑOSOMAS,PROM_HIJOS,PCON_DISCAPACIDAD,PCCONDICIOMENTAL,GRADOPROMEDIOESCOLAR,GRADOPROMEDIOESCOLAR_F,GRADOPROMEDIOESCOLAR_M,PSINSERVICIOSALUD,PCONSERVICIOSALUD
0,Total de la entidad Sonora,2944840,1472643,1472197,723847,1981467,236801,2.07,145473,40272,10.4,10.45,10.35,547727,2391479
1,Aconchi,5115,2449,2666,1176,3241,698,2.916,341,76,8.586,9.094,8.124,1063,4042
2,Agua Prieta,183578,92119,91459,50506,122470,10492,2.842307692,8066,2254,7.579230769,7.691538462,7.510769231,53331,129926
3,Alamos,49482,23942,25540,12582,30799,6095,3.06034965,3299,646,6.463426573,6.597692308,6.351608392,7804,41610
4,Altar,18748,9465,9283,5459,11957,1324,2.437777778,1071,175,7.582222222,7.593333333,7.528888889,6096,12637
5,Arivechi,2352,1165,1187,566,1412,374,2.69,194,42,6.781666667,6.66,6.906666667,484,1866
6,Arizpe,5456,2638,2818,1221,3284,951,3.065714286,654,75,7.150714286,7.783571429,6.739285714,1357,4096
7,Atil,1238,627,611,262,759,217,2.41,85,10,9.07,9.255,8.895,304,934
8,Bacadéhuachi,1958,914,1044,392,1216,350,2.75,130,24,7.64,7.79,7.5,428,1526
9,Bacanora,1492,728,764,333,827,316,3.498571429,160,22,6.455714286,6.484285714,6.431428571,325,1149
10,Bacerac,2423,1228,1195,615,1502,306,3.101666667,153,30,6.758333333,7.04,6.543333333,724,1693
11,Bacoachi,2860,1416,1444,609,1786,465,3.4575,265,40,7.14375,7.46125,6.76625,396,2464
12,Bácum,45443,22443,23000,11234,29608,4573,2.598518519,2346,624,7.907407407,7.951111111,7.815925926,8698,36673
13,Banámichi,3609,1785,1824,897,2259,453,2.413333333,171,22,9.641666667,10.01833333,9.098333333,362,3247
14,Baviácora,6351,3045,3306,1409,3902,1040,2.502307692,536,58,8.260769231,8.593076923,8.044615385,836,5513
15,Bavispe,2336,1102,1234,646,1348,342,3.466,152,20,7.51,8.002,7.108,1330,1004
16,Benito Juárez,9912,4989,4923,2572,6233,1107,3.534,717,166,8.286,8.242,8.374,1475,8407
17,Benjamín Hill,176992,88423,88569,47255,116982,12651,2.383442623,8239,1889,7.176065574,7.349262295,7.033196721,38738,138044
18,Caborca,870206,442591,427615,199113,590374,80553,2.494112903,51485,12925,8.181290323,8.487258065,7.952177419,133888,735547
19,Cajeme,78784,39639,39145,21671,50610,6417,3.187333333,3082,860,8.318666667,8.607333333,8.036666667,6878,71802
20,Cananea,9668,4679,4989,2664,6121,883,2.19,458,102,8.14375,8.355,7.80375,2354,7292
21,Carbó,3500,1589,1911,744,2213,543,2.883,274,26,7.086,7.197,6.957,640,2826
22,Cucurpe,1552,714,838,352,1018,182,2.902727273,26,5,7.001818182,6.99,6.927272727,290,1247
23,Cumpas,11633,5717,5916,2609,7434,1590,2.928571429,708,88,7.985714286,8.207142857,7.644285714,708,10925
24,Divisaderos,1506,718,788,360,896,250,2.7,146,16,8.52,8.57,8.48,58,1444
25,Empalme,101695,50755,50940,25920,66627,9142,2.448181818,5377,1381,8.094545455,8.110909091,8.033636364,16229,85386
26,Etchojoa,122093,59769,62324,30821,78976,12296,2.5024,7749,1654,8.6097,8.7359,8.4764,17295,104780
27,Fronteras,17900,8858,9042,5342,11460,1098,2.641818182,599,118,7.640909091,7.71,7.563636364,3284,14590
28,General Plutarco Elías Calles,2018,970,1048,442,1258,318,2.38,252,18,8.97,9.29,8.67,324,1686
29,Granados,312901,157408,155493,76946,208627,27159,2.490980392,16788,4554,7.625588235,8.111960784,7.226568627,49529,263037
30,Guaymas,1866846,936164,930682,441055,1288518,134318,2.477201258,82689,27584,7.107295597,7.413962264,6.890062893,331029,1530934
31,Hermosillo,2353,1152,1201,518,1511,324,2.5625,220,20,7.425,7.055,7.6225,369,1969
32,Huachinera,1775,842,933,356,1100,319,3.083333333,175,38,8.656666667,9.233333333,8.22,282,1493
33,Huásabas,154990,76390,78600,36583,100711,17696,2.601729323,9773,2105,8.531203008,8.589022556,8.461954887,21696,133275
34,Huatabampo,1879,896,983,407,1112,360,2.534,118,20,9.19,9.4,8.984,90,1785
35,Huépac,24405,11968,12437,6733,15444,2194,2.39862069,1616,419,8.40137931,8.828275862,8.18862069,6357,17996
36,Imuris,65732,33484,32248,17203,43184,5337,2.601666667,3262,693,8.231666667,8.638333333,7.855555556,13623,52049
37,La Colorada,2174,1008,1166,396,1374,404,3.53,116,14,8.04,7.4075,8.1775,880,1292
38,Magdalena,10335,5257,5078,2281,6916,1044,2.74,482,118,8.91,8.988333333,8.835,648,9591
39,Mazatán,11520,5743,5777,3424,7241,853,2.526,856,155,8.608,8.918,8.346,4786,6722
40,Moctezuma,3046,1443,1603,725,1807,514,3.315,287,14,6.766666667,6.748333333,6.78,905,2121
41,Naco,28624,14160,14464,7992,18831,1801,2.1625,1095,262,9.976666667,10.57416667,9.674166667,2131,26465
42,Nácori Chico,328132,165973,162159,78473,217942,31659,2.651583333,18089,4612,7.987916667,8.121,7.861083333,41367,286283
43,Nacozari de García,529118,264853,264265,140525,361906,26529,2.474375,18628,6325,9.094375,9.503125,8.7571875,94396,433748
44,Navojoa,715,356,359,166,416,133,2.97,48,8,7.175,7.15,7.205,294,421
45,Nogales,4662,2157,2505,1095,2816,751,3.59,426,46,6.816666667,6.685,6.874166667,1359,3301
46,Onavas,970,524,446,194,633,143,1.805,65,6,9.895,10.055,9.73,449,521
47,Opodepe,17965,8787,9178,4473,11823,1669,2.123636364,869,190,7.911818182,8.119090909,7.749090909,2910,15042
48,Oquitoa,125282,62061,63221,34331,83605,7296,2.5875,4886,1562,8.584166667,9.335,8.230833333,33240,91838
49,Pitiquito,5934,2860,3074,1564,3528,840,3.001875,529,27,6.245,6.254375,6.2775,873,5042
50,Puerto Peñasco,2964,1364,1600,616,1738,610,2.325,304,28,6.691666667,6.446666667,6.75,324,2625
51,Quiriego,9516,4641,4875,2464,5579,1455,2.772727273,789,76,6.693636364,6.532272727,6.822727273,2562,6919
52,Rayón,10466,5058,5408,2368,6446,1652,3.4365,607,96,6.8575,6.9155,6.745,2549,7917
53,Rosario,735,335,400,190,424,121,2.345,49,7,9.535,9.765,9.32,65,670
54,Sahuaripa,1060,481,579,341,622,97,2.385,42,2,8.8,9.07,8.575,286,772
55,San Felipe de Jesús,396668,196340,200328,100972,265805,29663,2.537435897,17521,5565,7.114230769,7.228846154,7.015512821,121630,274314
56,San Ignacio Río Muerto,21316,10186,11130,6644,13679,981,2.357333333,738,168,7.15,7.699333333,6.968666667,8667,12615
57,San Javier,2853,1303,1550,524,1706,615,4.223636364,226,20,6.994545455,6.91,6.983636364,919,1914
58,San Luis Río Colorado,32172,16334,15838,8211,20862,3099,2.776190476,1495,373,7.881904762,8.04,7.688571429,6145,26009
59,San Miguel de Horcasitas,3598,1719,1879,1030,2258,310,3.205,110,14,7.981666667,7.88,7.991666667,443,3144
60,San Pedro de la Cueva,4026,1930,2096,1053,2513,442,2.324285714,242,28,7.777142857,7.745714286,7.758571429,1148,2860
61,Santa Ana,2656,1168,1488,630,1572,454,3.300769231,221,53,6.376153846,7.421538462,5.860769231,1183,1465
62,Santa Cruz,2188,1012,1176,471,1342,375,2.715,126,22,7.615,7.63,7.605,765,1420
63,Sáric,2356,1114,1242,436,1448,472,3.066666667,266,28,7.553333333,8.106666667,7.14,328,2026
64,Soyopa,2666,1253,1413,663,1620,383,2.18125,108,35,6.69625,6.9775,6.5125,1029,1631
65,Suaqui Grande,2852,1343,1509,646,1779,427,2.656666667,202,24,7.494666667,7.717333333,7.198666667,585,2267
66,Tepache,16793,8065,8728,3300,10702,2791,3.222941176,1302,225,7.811764706,7.721764706,7.825294118,1649,15128
67,Trincheras,2857,1361,1496,670,1730,457,2.556666667,206,36,7.813333333,7.833333333,7.806666667,580,2271
68,Tubutama,2011,877,1134,353,1254,404,2.755,224,12,8.405,8.5475,8.275,746,1259
69,Ures,9459,4705,4754,2555,5727,1163,3.046428571,800,82,5.671071429,5.638928571,5.672857143,2862,6557
70,Villa Hidalgo,27093,13737,13356,8299,16934,1860,2.69,1710,357,7.629333333,7.544,7.700666667,6824,20221
71,Villa Pesqueira,43189,21491,21698,11262,27581,4346,2.535714286,3116,519,8.635714286,8.317857143,8.761428571,8203,34951
72,Yécora,28202,13719,14483,7420,18198,2584,2.7208,1810,378,6.906,7.2532,6.638,6225,21967